,protein_name,compound_name,pocket_name,pocket_com,affinity
861,2xb8,2xb8,pocket_25,"2.508,2.71,43.327",4.5955706
862,2xb8,2xb8,pocket_26,"2.71,-19.933,65.768",4.5827703
863,2xb8,2xb8,pocket_27,"-2.71,-19.933,60.752",5.084022
864,2xb8,2xb8,pocket_28,"-19.933,-2.508,60.55",4.011444
865,2xb8,2xb8,pocket_29,"19.933,-2.508,65.97",4.3579383
866,2xb8,2xb8,pocket_30,"-19.933,2.508,65.97",3.9351768
867,2xb8,2xb8,pocket_31,"-2.508,-2.71,43.327",3.9494345
868,2xb8,2xb8,pocket_32,"2.508,-2.71,83.193",4.506191
869,2xb8,2xb8,pocket_33,"-2.508,2.71,83.193",4.27719
870,2xb8,2xb8,pocket_34,"19.933,2.508,60.55",4.09525
871,2xb8,2xb8,pocket_35,"-2.71,19.933,65.768",4.0831537
872,2xb8,2xb8,pocket_36,"2.71,19.933,60.752",4.709972
873,2xb8,2xb8,pocket_37,"11.667,-4.102,27.747",5.414637
874,2xb8,2xb8,pocket_38,"4.102,-35.513,51.593",5.9312305
875,2xb8,2xb8,pocket_39,"-35.513,-11.667,67.362",5.138262
876,2xb8,2xb8,pocket_40,"-11.667,4.102,27.747",4.8851185
877,2xb8,2xb8,pocket_41,"35.513,11.667,67.362",5.629714
878,2xb8,2xb8,pocket_42,"-4.102,35.513,51.593",5.8506756
879,2xb8,2xb8,pocket_43,"34.95,-12.11,59.04",5.4844065
880,2xb8,2xb8,pocket_44,"-34.95,12.11,59.04",4.7551193
881,2xb8,2xb8,pocket_45,"-4.22,-34.95,75.37",5.5577116
882,2xb8,2xb8,pocket_46,"12.11,4.22,98.21",5.330538
883,2xb8,2xb8,pocket_47,"-12.11,-4.22,98.21",5.235096
884,2xb8,2xb8,pocket_48,"4.22,34.95,75.37",5.658228
885,2xb8,2xb8,pocket_49,"-27.452,-23.562,53.0",5.787117
886,2xb8,2xb8,pocket_50,"-23.562,-10.26,35.808",5.167435
887,2xb8,2xb8,pocket_51,"23.562,10.26,35.808",5.7516947
888,2xb8,2xb8,pocket_52,"27.452,23.562,53.0",6.174793
889,2xb8,2xb8,pocket_53,"27.452,-23.562,73.52",5.659894
890,2xb8,2xb8,pocket_54,"23.562,-10.26,90.712",4.967723
891,2xb8,2xb8,pocket_55,"-23.562,10.26,90.712",5.309103
892,2xb8,2xb8,pocket_56,"-27.452,23.562,73.52",5.500003
893,2xb8,2xb8,pocket_57,"10.351,-27.485,87.124",5.420085
894,2xb8,2xb8,pocket_58,"-10.351,27.485,87.124",5.52456
895,2xb8,2xb8,pocket_59,"-10.658,-27.508,39.093",5.5513086
896,2xb8,2xb8,pocket_60,"10.658,27.508,39.093",5.393816
897,2xb8,2xb8,pocket_61,"-43.907,5.732,62.56",0.56143606
898,2xb8,2xb8,pocket_62,"-0.7,-43.907,68.992",0.46090674
899,2xb8,2xb8,pocket_63,"-5.732,-0.7,107.167",0.4261415
900,2xb8,2xb8,pocket_64,"5.732,0.7,107.167",0.6847167
901,2xb8,2xb8,pocket_65,"43.907,-5.732,62.56",1.0224767
902,2xb8,2xb8,pocket_66,"0.7,43.907,68.992",0.44754767
903,2xb8,2xb8,pocket_67,"5.843,-0.742,19.026",0.9229319
904,2xb8,2xb8,pocket_68,"0.742,-44.234,57.417",0.54922485
905,2xb8,2xb8,pocket_69,"-44.234,-5.843,64.002",0.72118664
906,2xb8,2xb8,pocket_70,"-5.843,0.742,19.026",0.72367287
907,2xb8,2xb8,pocket_71,"44.234,5.843,64.002",0.59207916
908,2xb8,2xb8,pocket_72,"-0.742,44.234,57.417",0.75092316
909,2p4y,2p4y,protein_center,"20.466,-12.448,25.652",3.3508267
910,2p4y,2p4y,pocket_1,"35.309,-20.334,38.396",8.448974
911,2p4y,2p4y,pocket_2,"15.512,5.061,14.26",8.560942
912,2p4y,2p4y,pocket_3,"22.291,-7.661,34.85",2.7098315
913,2p4y,2p4y,pocket_4,"15.841,-0.468,-2.04",4.037638
914,2p4y,2p4y,pocket_5,"18.062,-18.616,12.526",4.2874656
915,2p4y,2p4y,pocket_6,"11.769,-14.678,34.756",4.135952
916,2p4y,2p4y,pocket_7,"20.275,-18.107,16.129",4.3853636
917,2p4y,2p4y,pocket_8,"7.123,-24.74,19.046",3.3352587
918,2p4y,2p4y,pocket_9,"27.652,12.337,8.54",6.9066257
919,2p4y,2p4y,pocket_10,"35.012,-13.666,24.662",6.0058413
920,2p4y,2p4y,pocket_11,"25.967,-10.688,17.835",2.9033513
921,2p4y,2p4y,pocket_12,"34.613,-14.342,29.271",7.145358
922,2p4y,2p4y,pocket_13,"14.359,-9.373,27.396",4.2308855
923,2p4y,2p4y,pocket_14,"25.508,9.754,11.363",8.057658
924,1pxn,1pxn,protein_center,"0.959,5.562,14.153",7.332679
925,1pxn,1pxn,pocket_1,"-2.856,8.012,22.656",7.3492565
926,1pxn,1pxn,pocket_2,"-7.003,3.906,-3.796",2.3124154
927,1pxn,1pxn,pocket_3,"6.607,5.827,-6.062",2.1506767
928,1pxn,1pxn,pocket_4,"-9.418,-1.705,36.732",4.3912277
929,1pxn,1pxn,pocket_5,"-11.383,10.229,36.128",3.1731763
930,1pxn,1pxn,pocket_6,"-14.117,4.41,21.834",5.5016727
931,1pxn,1pxn,pocket_7,"12.376,4.527,-5.453",2.3173099
932,1pxn,1pxn,pocket_8,"6.239,-6.208,27.708",6.707453
933,1pxn,1pxn,pocket_9,"5.211,14.467,15.378",5.3200545
934,1pxn,1pxn,pocket_10,"22.365,-0.139,19.379",1.6095905
935,3f3e,3f3e,protein_center,"26.732,30.38,20.991",7.0191107
936,3f3e,3f3e,pocket_1,"24.279,21.634,24.893",7.8678026
937,3f3e,3f3e,pocket_2,"25.208,30.531,39.26",0.6819302
938,3f3e,3f3e,pocket_3,"35.152,15.696,24.031",2.8520067
939,3f3e,3f3e,pocket_4,"42.158,31.883,8.978",2.0358272
940,3f3e,3f3e,pocket_5,"24.388,35.006,5.894",7.164465
941,3f3e,3f3e,pocket_6,"27.932,53.971,36.978",0.6999433
942,3f3e,3f3e,pocket_7,"6.984,25.501,27.8",1.1057832
943,3f3e,3f3e,pocket_8,"27.204,31.823,20.783",7.05544
944,3f3e,3f3e,pocket_9,"30.115,5.108,4.934",0.5235362
945,3f3e,3f3e,pocket_10,"18.452,25.269,37.319",0.7782533
946,3f3e,3f3e,pocket_11,"-2.572,44.762,28.928",2.3371024
947,3f3e,3f3e,pocket_12,"46.107,35.593,23.514",1.0094936
948,3f3e,3f3e,pocket_13,"40.954,33.712,36.273",1.8967543
949,3f3e,3f3e,pocket_14,"47.36,15.248,15.443",1.4912024
950,3f3e,3f3e,pocket_15,"40.85,43.411,35.46",0.3593936
951,3f3e,3f3e,pocket_16,"35.332,50.683,23.23",2.610522
952,3f3e,3f3e,pocket_17,"8.901,39.596,13.036",0.42078686
953,3f3e,3f3e,pocket_18,"28.905,5.957,14.509",0.59625137
954,3f3e,3f3e,pocket_19,"15.256,40.953,39.151",-0.0008489108
955,2cbv,2cbv,protein_center,"-6.579,-8.681,4.285",2.7559958
956,2cbv,2cbv,pocket_1,"0.26,4.137,14.423",6.1291428
957,2cbv,2cbv,pocket_2,"-24.664,-31.434,0.358",6.0414357
958,2cbv,2cbv,pocket_3,"-5.357,6.339,31.316",1.0104913
959,2cbv,2cbv,pocket_4,"4.144,10.656,33.174",0.17041755
960,2cbv,2cbv,pocket_5,"-19.803,-28.835,17.846",0.91267097
961,2cbv,2cbv,pocket_6,"1.746,22.361,0.858",4.2944164
962,2cbv,2cbv,pocket_7,"5.347,-3.505,30.642",1.9422612
963,2cbv,2cbv,pocket_8,"-2.59,7.78,-8.01",0.24865508
964,2cbv,2cbv,pocket_9,"-16.305,-37.064,17.256",-0.0011907791
965,2cbv,2cbv,pocket_10,"2.108,-28.316,-1.426",-0.00553992
966,2cbv,2cbv,pocket_11,"-7.98,-31.253,-16.232",3.673037
967,2cbv,2cbv,pocket_12,"-23.045,-26.424,-21.777",-0.00013147116
968,2al5,2al5,protein_center,"20.503,78.196,26.987",2.5283134
969,2al5,2al5,pocket_1,"20.927,77.343,26.472",3.1575942
970,2al5,2al5,pocket_2,"5.209,77.938,26.984",-0.0046219183
971,2al5,2al5,pocket_3,"21.541,94.911,25.27",7.003929
972,2al5,2al5,pocket_4,"21.536,61.482,28.707",6.973049
973,2al5,2al5,pocket_5,"15.519,92.046,32.722",7.10017
974,2al5,2al5,pocket_6,"15.602,64.38,21.328",6.8414564
975,2al5,2al5,pocket_7,"27.202,82.622,25.442",2.9445086
976,2al5,2al5,pocket_8,"27.432,73.52,29.226",5.0266924
977,2al5,2al5,pocket_9,"27.042,97.48,15.862",7.04224
978,2al5,2al5,pocket_10,"26.843,58.759,37.705",7.0366793
979,2al5,2al5,pocket_11,"28.355,91.084,8.516",1.7117344
980,2al5,2al5,pocket_12,"28.324,65.308,45.465",1.7548184
981,2al5,2al5,pocket_13,"33.49,88.481,35.55",2.9755163
982,2al5,2al5,pocket_14,"33.49,67.917,18.438",2.1660817
983,3b5r,3b5r,protein_center,"21.19,5.867,10.336",9.094201
984,3b5r,3b5r,pocket_1,"27.771,2.162,5.521",8.910497
985,3b5r,3b5r,pocket_2,"21.88,13.806,7.764",7.6529284
986,3b5r,3b5r,pocket_3,"21.781,-1.057,14.703",7.960266
987,3b5r,3b5r,pocket_4,"30.589,-1.429,24.652",2.8000193
988,3b5r,3b5r,pocket_5,"17.372,15.156,27.615",3.4464488
989,3b5r,3b5r,pocket_6,"-0.967,14.613,10.567",3.6047108
990,1eby,1eby,protein_center,"15.942,26.616,3.699",10.013807
991,1eby,1eby,pocket_1,"13.027,22.749,5.653",9.89593
992,3ivg,3ivg,protein_center,"8.582,-0.183,18.704",4.925338
993,3ivg,3ivg,pocket_1,"17.757,9.41,3.2",5.69462
994,3ivg,3ivg,pocket_2,"3.658,-11.869,35.171",5.87012
995,3ivg,3ivg,pocket_3,"-6.169,5.819,16.196",2.7241926
996,3ivg,3ivg,pocket_4,"-2.965,-7.993,12.526",2.2832267
997,3ivg,3ivg,pocket_5,"5.47,2.683,39.527",4.9287977
998,3ivg,3ivg,pocket_6,"5.204,13.203,22.807",1.2155596
999,3ivg,3ivg,pocket_7,"6.708,-23.425,28.501",2.9047167
1000,2hb1,2hb1,protein_center,"44.495,16.935,15.257",4.0342507
1001,2hb1,2hb1,pocket_1,"45.923,15.119,3.04",3.823411
1002,2hb1,2hb1,pocket_2,"51.837,5.797,5.501",3.853985
1003,2hb1,2hb1,pocket_3,"36.318,29.412,8.546",0.8596399
1004,2hb1,2hb1,pocket_4,"52.328,23.932,28.375",2.234102
1005,2hb1,2hb1,pocket_5,"24.683,17.72,8.649",1.8718908
1006,2hb1,2hb1,pocket_6,"24.776,6.044,7.691",2.0877635
1007,2hb1,2hb1,pocket_7,"59.49,31.944,16.672",1.693946
1008,3gbb,3gbb,protein_center,"-10.264,39.25,17.125",2.0414376
1009,3gbb,3gbb,pocket_1,"-20.182,35.024,30.213",8.180163
1010,3gbb,3gbb,pocket_2,"1.828,43.86,3.315",7.6924667
1011,3gbb,3gbb,pocket_3,"-5.932,35.009,12.949",6.906666
1012,3gbb,3gbb,pocket_4,"-8.588,40.635,23.834",4.9471416
1013,3gbb,3gbb,pocket_5,"-8.064,48.448,18.085",0.6822672
1014,3gbb,3gbb,pocket_6,"-10.352,50.556,27.956",2.6317961
1015,3gbb,3gbb,pocket_7,"-30.64,29.269,33.798",8.082019
1016,3gbb,3gbb,pocket_8,"-9.649,48.4,2.218",7.552039
1017,3gbb,3gbb,pocket_9,"-4.851,50.919,-3.502",7.772743
1018,3gbb,3gbb,pocket_10,"-21.023,20.546,33.659",7.2082005
1019,3gbb,3gbb,pocket_11,"10.943,37.987,9.573",8.072641
1020,3gbb,3gbb,pocket_12,"-29.994,31.996,16.018",3.32768
1021,3gbb,3gbb,pocket_13,"6.573,39.023,7.534",7.567911
1022,3gbb,3gbb,pocket_14,"-20.053,41.635,14.416",2.386497
1023,3gbb,3gbb,pocket_15,"-26.483,48.187,27.842",6.000826
1024,3gr2,3gr2,protein_center,"-7.701,-0.467,23.013",0.062486887
1025,3gr2,3gr2,pocket_1,"17.877,5.692,23.907",3.374785
1026,3gr2,3gr2,pocket_2,"-7.035,14.19,21.485",1.8767383
1027,3gr2,3gr2,pocket_3,"-35.301,6.027,15.843",3.0631533
1028,3gr2,3gr2,pocket_4,"-7.084,1.706,22.976",0.13431263
1029,3gr2,3gr2,pocket_5,"7.354,8.44,43.83",1.0089903
1030,3gr2,3gr2,pocket_6,"-23.241,4.418,1.259",1.312677
1031,3gr2,3gr2,pocket_7,"-1.381,7.151,11.905",0.8448243
1032,3gr2,3gr2,pocket_8,"21.407,-3.259,41.312",3.0866926
1033,3gr2,3gr2,pocket_9,"-12.056,-7.668,29.003",1.3414953
1034,3gr2,3gr2,pocket_10,"-13.144,9.651,32.296",0.047798395
1035,3gr2,3gr2,pocket_11,"-28.342,12.406,23.034",2.8053927
1036,3d4z,3d4z,protein_center,"39.689,62.074,-7.569",1.0063088
1037,3d4z,3d4z,pocket_1,"43.679,73.446,-27.353",2.92092
1038,3d4z,3d4z,pocket_2,"25.069,62.99,11.782",5.703925
1039,3d4z,3d4z,pocket_3,"42.658,56.388,-17.709",0.61540294
1040,3d4z,3d4z,pocket_4,"57.481,56.921,0.206",1.1583314
1041,3d4z,3d4z,pocket_5,"52.763,66.506,7.123",2.0796402
1042,3d4z,3d4z,pocket_6,"34.892,69.785,17.133",4.907938
1043,3d4z,3d4z,pocket_7,"68.668,58.107,-19.397",1.7451024
1044,3d4z,3d4z,pocket_8,"25.555,49.998,-23.388",-0.00428246
1045,3d4z,3d4z,pocket_9,"61.94,65.879,-32.659",1.2402261
1046,3d4z,3d4z,pocket_10,"34.175,86.943,-18.137",0.8224921
1047,3d4z,3d4z,pocket_11,"38.127,53.526,-31.648",-0.018014342
1048,3d4z,3d4z,pocket_12,"73.112,76.688,-17.183",0.41532087
1049,3d4z,3d4z,pocket_13,"40.664,44.45,-24.945",-0.0017186331
1050,3d4z,3d4z,pocket_14,"46.562,85.615,-21.868",2.7939188
1051,3d4z,3d4z,pocket_15,"70.619,76.576,-30.203",1.7613151
1052,3d4z,3d4z,pocket_16,"46.797,46.1,13.08",0.0096104145
1053,3d4z,3d4z,pocket_17,"51.226,76.33,-12.674",1.0173647
1054,3d4z,3d4z,pocket_18,"13.865,49.636,21.565",1.1617461
1055,3d4z,3d4z,pocket_19,"40.282,41.244,-13.122",-0.0072592758
1056,3d4z,3d4z,pocket_20,"39.091,55.055,2.776",4.2365923
1057,3d4z,3d4z,pocket_21,"48.409,70.423,-16.744",1.8216505
1058,3d4z,3d4z,pocket_22,"27.096,51.579,22.786",2.7267957
1059,3d4z,3d4z,pocket_23,"48.264,60.188,-26.77",2.7472606
1060,3d4z,3d4z,pocket_24,"38.365,57.346,12.356",4.4440517
1061,3d4z,3d4z,pocket_25,"36.181,36.868,2.706",-0.0014270091
1062,3d4z,3d4z,pocket_26,"23.667,60.408,-34.739",0.9823315
1063,3d4z,3d4z,pocket_27,"51.261,55.438,-29.59",1.6919886
1064,3d4z,3d4z,pocket_28,"24.102,53.835,-9.925",0.26135135
1065,3d4z,3d4z,pocket_29,"49.188,42.071,-9.544",0.5369458
1066,3d4z,3d4z,pocket_30,"34.629,95.866,-28.903",1.7168376
1067,3d4z,3d4z,pocket_31,"70.709,54.965,-9.355",0.20389962
1068,3d4z,3d4z,pocket_32,"17.535,39.388,26.225",1.5029002
1069,3d4z,3d4z,pocket_33,"50.126,60.573,-8.55",-0.00252532
1070,3d4z,3d4z,pocket_34,"64.365,79.428,-39.186",0.87936974
1071,3d4z,3d4z,pocket_35,"43.045,54.058,-0.018",2.4919467
1072,3d4z,3d4z,pocket_36,"46.126,79.163,-8.682",-0.0123735545
1073,3d4z,3d4z,pocket_37,"52.581,54.572,-5.025",0.859301
1074,2v00,2v00,protein_center,"3.793,0.859,6.117",4.2714505
1075,2v00,2v00,pocket_1,"-1.336,4.875,9.706",4.0710716
1076,2v00,2v00,pocket_2,"17.23,4.84,13.288",1.3704329
1077,2v00,2v00,pocket_3,"-9.477,3.619,0.602",3.8253508
1078,2v00,2v00,pocket_4,"12.424,-10.731,-1.979",0.10976434
1079,2v00,2v00,pocket_5,"22.832,-1.668,1.179",0.6018038
1080,2v00,2v00,pocket_6,"-8.858,15.004,-1.588",1.4323486
1081,2v00,2v00,pocket_7,"6.284,12.002,-6.656",1.2322464
1082,2v00,2v00,pocket_8,"-0.065,4.551,-18.688",-0.000978787
1083,2v00,2v00,pocket_9,"12.799,18.121,4.819",0.95429087
1084,2v00,2v00,pocket_10,"0.439,19.516,2.82",2.6364572
1085,2v00,2v00,pocket_11,"6.828,-8.41,-5.238",0.5972755
1086,1r5y,1r5y,protein_center,"15.203,9.94,16.388",6.2178774
1087,1r5y,1r5y,pocket_1,"14.839,15.966,18.063",5.831978
1088,1r5y,1r5y,pocket_2,"1.604,1.994,26.916",0.49350572
1089,1r5y,1r5y,pocket_3,"22.691,17.055,11.667",6.065037
1090,1r5y,1r5y,pocket_4,"3.732,3.315,-2.612",0.6152456
1091,1r5y,1r5y,pocket_5,"26.982,0.062,0.2",1.5112436
1092,1r5y,1r5y,pocket_6,"10.576,-1.012,1.054",1.7595515
1093,1r5y,1r5y,pocket_7,"21.956,10.762,-11.156",1.160924
1094,3ge7,3ge7,protein_center,"15.367,9.817,16.373",8.607624
1095,3ge7,3ge7,pocket_1,"14.834,15.981,18.017",8.096289
1096,3ge7,3ge7,pocket_2,"1.274,1.146,25.81",1.5622097
1097,3ge7,3ge7,pocket_3,"22.934,16.891,11.529",8.332037
1098,3ge7,3ge7,pocket_4,"27.043,-0.67,0.057",1.7709887
1099,3ge7,3ge7,pocket_5,"3.335,2.926,-1.666",1.6149063
1100,3ge7,3ge7,pocket_6,"2.781,22.572,15.124",4.0641103
1101,3ge7,3ge7,pocket_7,"21.625,-9.549,16.836",0.48930478
1102,3ge7,3ge7,pocket_8,"11.792,1.473,34.688",3.277632
1103,3ge7,3ge7,pocket_9,"12.604,23.37,27.841",8.384466
1104,3ge7,3ge7,pocket_10,"-2.308,18.783,26.478",1.918281
1105,3ge7,3ge7,pocket_11,"10.375,-1.17,1.187",2.1463196
1106,3ge7,3ge7,pocket_12,"3.255,9.652,15.975",5.1316233
1107,1p1n,1p1n,protein_center,"13.228,5.316,14.956",7.4067984
1108,1p1n,1p1n,pocket_1,"17.445,1.486,16.921",7.733246
1109,1p1n,1p1n,pocket_2,"18.986,11.078,7.689",7.4059706
1110,1p1n,1p1n,pocket_3,"12.756,18.202,7.21",1.5234716
1111,1p1n,1p1n,pocket_4,"10.557,-7.001,16.908",7.5594883
1112,1p1n,1p1n,pocket_5,"4.036,2.991,8.115",6.8107433
1113,2j78,2j78,protein_center,"-6.106,-7.85,3.66",2.40953
1114,2j78,2j78,pocket_1,"1.043,4.668,13.75",6.1584415
1115,2j78,2j78,pocket_2,"-24.638,-29.742,-1.013",6.384453
1116,2j78,2j78,pocket_3,"-4.067,6.319,30.671",1.7472987
1117,2j78,2j78,pocket_4,"4.127,10.834,33.103",0.16218019
1118,2j78,2j78,pocket_5,"-20.576,-26.232,16.524",1.3479894
1119,2j78,2j78,pocket_6,"6.584,-2.933,30.096",1.36408
1120,2j78,2j78,pocket_7,"-17.051,-35.376,16.509",0.3776276
1121,2j78,2j78,pocket_8,"-1.579,7.756,-8.294",1.8795894
1122,2j78,2j78,pocket_9,"-8.786,-31.006,-16.478",4.2912326
1123,2j78,2j78,pocket_10,"-30.163,-36.815,15.833",1.388382
1124,2j78,2j78,pocket_11,"-9.483,-53.808,1.957",1.4397469
1125,2j78,2j78,pocket_12,"3.44,22.668,0.357",4.4664936
1126,2j78,2j78,pocket_13,"-24.019,-25.702,-22.892",2.10501
1127,2j78,2j78,pocket_14,"2.147,-27.493,-2.064",0.046567917
1128,2j78,2j78,pocket_15,"-2.798,31.218,15.105",0.043474436
1129,2j78,2j78,pocket_16,"-21.985,21.491,11.243",0.71013594
1130,2j78,2j78,pocket_17,"-6.523,-33.988,-26.596",-0.0057298206
1131,2j78,2j78,pocket_18,"12.52,14.971,-2.268",3.1911278
1132,2j78,2j78,pocket_19,"-7.59,-1.544,1.21",3.1013079
1133,2j78,2j78,pocket_20,"6.896,26.667,-9.34",0.168782
1134,2j78,2j78,pocket_21,"28.172,19.094,7.98",-0.0030052208
1135,3g2z,3g2z,protein_center,"20.665,71.737,4.045",2.0988064
1136,3g2z,3g2z,pocket_1,"30.135,92.004,-7.642",2.4945683
1137,3g2z,3g2z,pocket_2,"-3.778,53.449,11.921",2.360867
1138,3g2z,3g2z,pocket_3,"-2.301,69.98,6.342",1.420474
1139,3g2z,3g2z,pocket_4,"44.603,97.446,-12.164",1.050374
1140,3g2z,3g2z,pocket_5,"52.385,86.685,-18.982",2.0086215
1141,3g2z,3g2z,pocket_6,"40.648,80.521,-28.4",0.6820358
1142,3g2z,3g2z,pocket_7,"11.026,45.859,12.727",1.0357796
1143,3g2z,3g2z,pocket_8,"6.493,62.205,21.669",2.1650836
1144,3g2z,3g2z,pocket_9,"24.366,70.139,-13.974",1.4681334
1145,2iwx,2iwx,protein_center,"53.797,79.454,1.112",6.5119424
1146,2iwx,2iwx,pocket_1,"57.25,76.87,-3.51",6.425122
1147,2iwx,2iwx,pocket_2,"60.253,86.758,-10.518",5.973858
1148,2vvn,2vvn,protein_center,"-4.338,-21.895,18.462",3.6381116
1149,2vvn,2vvn,pocket_1,"6.284,-12.398,3.567",7.2035933
1150,2vvn,2vvn,pocket_2,"-1.119,-31.966,32.399",7.4530697
1151,2vvn,2vvn,pocket_3,"-13.219,-22.634,53.827",2.368053
1152,2vvn,2vvn,pocket_4,"-6.141,-20.849,-17.356",2.747035
1153,2vvn,2vvn,pocket_5,"8.575,-22.653,16.804",1.4559649
1154,2vvn,2vvn,pocket_6,"-19.935,-3.442,-13.09",2.4324746
1155,2vvn,2vvn,pocket_7,"-27.303,-40.127,50.4",2.2097428
1156,2vvn,2vvn,pocket_8,"-29.777,-25.264,-25.198",0.7977083
1157,2vvn,2vvn,pocket_9,"17.437,0.555,-6.331",1.2718205
1158,2vvn,2vvn,pocket_10,"10.477,-43.672,43.052",1.4256465
1159,2vvn,2vvn,pocket_11,"-36.817,-18.506,61.768",0.9137479
1160,2vvn,2vvn,pocket_12,"12.011,13.533,9.346",2.030147
1161,2vvn,2vvn,pocket_13,"5.953,-57.356,28.141",1.9744798
1162,2vvn,2vvn,pocket_14,"3.082,18.418,-3.062",0.23848319
1163,2vvn,2vvn,pocket_15,"0.01,9.477,-10.138",1.1455193
1164,2vvn,2vvn,pocket_16,"2.69,-24.806,-25.255",1.1597219
1165,2vvn,2vvn,pocket_17,"-4.498,-18.792,61.939",1.4111185
1166,2vvn,2vvn,pocket_18,"-6.622,-53.288,46.878",0.90808964
1167,2vvn,2vvn,pocket_19,"-4.459,-62.682,40.429",0.2999487
1168,2vvn,2vvn,pocket_20,"-5.973,13.361,-2.891",0.52550197
1169,2vvn,2vvn,pocket_21,"-14.15,-57.616,40.454",0.167624
1170,2vvn,2vvn,pocket_22,"-11.95,31.302,12.238",1.646287
1171,2vvn,2vvn,pocket_23,"0.009,-43.741,49.339",2.8666623
1172,2vvn,2vvn,pocket_24,"-16.703,-76.229,25.082",1.6539109
1173,2vvn,2vvn,pocket_25,"7.14,0.256,-12.225",3.161953
1174,2vvn,2vvn,pocket_26,"-25.434,-42.033,42.907",1.8267043
1175,2vvn,2vvn,pocket_27,"5.256,-7.13,-14.575",2.8342812
1176,2vvn,2vvn,pocket_28,"-2.654,-35.541,51.457",2.809112
1177,2vvn,2vvn,pocket_29,"-2.342,-28.704,13.558",3.0959117
1178,2vvn,2vvn,pocket_30,"14.91,-23.104,16.956",1.9917555
1179,2vvn,2vvn,pocket_31,"-14.81,-5.926,-1.062",1.6813766
1180,2vvn,2vvn,pocket_32,"-17.196,-52.712,21.002",1.1858578
1181,2vvn,2vvn,pocket_33,"18.084,-13.686,1.716",6.501748
1182,2vvn,2vvn,pocket_34,"-0.803,-80.893,29.036",1.0515478
1183,2vvn,2vvn,pocket_35,"-9.091,6.185,16.137",1.0972263
1184,2vvn,2vvn,pocket_36,"0.379,-23.031,27.016",7.1600094
1185,2vvn,2vvn,pocket_37,"8.137,-41.377,-16.052",1.3328878
1186,2vvn,2vvn,pocket_38,"9.712,-29.955,34.406",7.1721487
1187,2vvn,2vvn,pocket_39,"-1.847,3.953,46.124",1.6270306
1188,2vvn,2vvn,pocket_40,"-21.426,-38.021,41.172",0.7001116
1189,2vvn,2vvn,pocket_41,"-5.072,-0.769,-11.322",3.6940296
1190,3jvs,3jvs,protein_center,"14.673,1.7,22.262",5.6184306
1191,3jvs,3jvs,pocket_1,"14.586,-2.817,12.078",7.0354567
1192,3jvs,3jvs,pocket_2,"8.34,-7.99,16.833",5.8697147
1193,3jvs,3jvs,pocket_3,"6.657,-5.047,-0.583",2.680149
1194,3jvs,3jvs,pocket_4,"-4.454,-3.854,10.885",2.4700859
1195,3jvs,3jvs,pocket_5,"25.96,-3.769,23.988",6.3189363
1196,3jvs,3jvs,pocket_6,"5.074,3.474,0.03",3.623775
1197,3jvs,3jvs,pocket_7,"12.647,-6.567,19.947",6.003196
1198,3jvs,3jvs,pocket_8,"14.795,11.345,8.144",5.9587693
1199,3jvs,3jvs,pocket_9,"6.038,1.719,40.534",2.4036345
1200,3coz,3coz,protein_center,"8.734,-0.24,18.654",2.5598123
1201,3coz,3coz,pocket_1,"17.653,9.545,2.99",5.2950573
1202,3coz,3coz,pocket_2,"3.147,-12.251,35.321",5.4961977
1203,3coz,3coz,pocket_3,"-5.238,5.536,16.173",1.9050605
1204,3coz,3coz,pocket_4,"-2.565,-7.668,12.261",2.4429789
1205,3coz,3coz,pocket_5,"4.129,13.892,21.914",1.2846555
1206,2zcr,2zcr,protein_center,"16.705,54.459,36.836",7.2127514
1207,2zcr,2zcr,pocket_1,"19.234,53.926,37.005",7.28592
1208,2zcr,2zcr,pocket_2,"15.11,59.667,24.517",6.090375
1209,2zcr,2zcr,pocket_3,"14.606,46.398,24.633",4.6312304
1210,2zcr,2zcr,pocket_4,"1.04,42.897,53.992",2.8987727
1211,2zcr,2zcr,pocket_5,"3.286,52.906,52.107",2.8382044
1212,2zcr,2zcr,pocket_6,"12.127,70.752,49.134",2.5775788
1213,2zcr,2zcr,pocket_7,"-0.711,53.74,33.792",4.1656365
1214,2zcr,2zcr,pocket_8,"17.662,64.219,33.47",6.760496
1215,1mq6,1mq6,protein_center,"22.861,13.785,25.296",7.816243
1216,1mq6,1mq6,pocket_1,"23.115,17.002,34.406",5.0264254
1217,1mq6,1mq6,pocket_2,"24.964,-0.998,26.49",6.101186
1218,1mq6,1mq6,pocket_3,"7.568,4.339,18.245",9.134599
1219,1mq6,1mq6,pocket_4,"39.878,1.752,29.245",2.9542599
1220,1mq6,1mq6,pocket_5,"34.419,23.277,22.974",4.9693503
1221,1mq6,1mq6,pocket_6,"8.19,9.837,18.538",9.140194
1222,1mq6,1mq6,pocket_7,"12.569,7.533,26.642",9.08242
1223,1mq6,1mq6,pocket_8,"26.363,4.127,11.869",3.262608
1224,3bgz,3bgz,protein_center,"-8.533,40.407,0.738",7.28916
1225,3bgz,3bgz,pocket_1,"-17.876,37.079,-3.397",7.054865
1226,3bgz,3bgz,pocket_2,"-7.72,40.347,-12.405",3.3116534
1227,3bgz,3bgz,pocket_3,"-10.57,31.961,-3.433",7.2435637
1228,3bgz,3bgz,pocket_4,"-29.05,27.424,3.12",5.203738
